"","CAND_ID","CAND_ELECTION_YR","CMTE_ID","LINKAGE_ID"
"385","H4FL26038",2018,"C00565374",213582
"386","H4FL26038",2018,"C00573477",213583
"387","H4GA01039",2018,"C00543967",213584
"388","H4GA06087",2018,"C00386755",213589
"389","H4GA06087",2018,"C00459529",213590
"390","H4GA11061",2018,"C00543892",213595
"391","H4GA12051",2018,"C00547158",213598
"392","H4GA12051",2018,"C00606970",213599
"393","H4HI01167",2018,"C00659714",218479
"394","H4HI01167",2018,"C00551507",218398
"395","H4IA03057",2018,"C00634527",216835
"396","H4IA03115",2018,"C00573477",213609
"397","H4IA03115",2018,"C00568634",213608
"398","H4IA03115",2018,"C00545616",213607
"399","H4ID01065",2018,"C00288159",217299
"400","H4IL03077",2018,"C00405431",213616
"401","H4IL07037",2018,"C00172619",213619
"402","H4IL12060",2018,"C00573477",213627
"403","H4IL12060",2018,"C00546499",213626
"404","H4IL17077",2018,"C00675728",220408
"405","H4IN01012",2018,"C00166504",213632
"406","H4IN02150",2018,"C00640730",217193
"407","H4KS01059",2018,"C00552810",213637
"408","H4KY06163",2018,"C00599514",213645
"409","H4LA05221",2018,"C00563940",213654
"410","H4LA06153",2018,"C00558486",213661
"411","H4MA01059",2018,"C00565085",213664
"412","H4MA03022",2018,"C00285171",213665
"413","H4MA05084",2018,"C00541888",213668
"414","H4MA06090",2018,"C00547240",213675
"415","H4MA09078",2018,"C00553917",213679
"416","H4MA09078",2018,"C00568626",213680
"417","H4MD04071",2018,"C00623199",213686
"418","H4MD07066",2018,"C00566653",213690
"419","H4MD07066",2018,"C00565820",213689
"420","H4MD07074",2018,"C00565200",213691
"421","H4ME02234",2018,"C00518654",213694
"422","H4ME02234",2018,"C00573477",213695
"423","H4MI01130",2018,"C00637488",216975
"424","H4MI04118",2018,"C00581090",213696
"425","H4MI04118",2018,"C00638833",217071
"426","H4MI04126",2018,"C00561530",213697
"427","H4MI06105",2018,"C00650614",217556
"428","H4MI06105",2018,"C00540856",213698
"429","H4MI07103",2018,"C00390724",213699
"430","H4MI07103",2018,"C00577973",213700
"431","H4MI08135",2018,"C00561001",213702
"432","H4MI08135",2018,"C00584730",213703
"433","H4MI11097",2018,"C00548941",213706
"434","H4MI12079",2018,"C00558213",213708
"435","H4MN06087",2018,"C00573444",213712
"436","H4MN06087",2018,"C00545749",213711
"437","H4MN08091",2018,"C00665125",219083
"438","H4MO04138",2018,"C00565523",213717
"439","H4MO05234",2018,"C00395848",213718
"440","H4MO08162",2018,"C00541862",213723
"441","H4MO08162",2018,"C00573436",213724
"442","H4MS02068",2018,"C00279851",213727
"443","H4MT00084",2018,"C00631226",216666
"444","H4MT01041",2018,"C00566240",213734
"445","H4MT01041",2018,"C00550871",213733
"446","H4NC01046",2018,"C00401190",213735
"447","H4NC05146",2018,"C00386748",213740
"448","H4NC05146",2018,"C00638833",217066
"449","H4NC06052",2018,"C00543231",213743
"450","H4NC10047",2018,"C00393629",213747
"451","H4NC12100",2018,"C00546358",213753
"452","H4NE01064",2018,"C00395467",213759
"453","H4NE01163",2018,"C00648600",217412
"454","H4NE02054",2018,"C00557181",213760
"455","H4NJ01084",2018,"C00558320",213766
"456","H4NJ01142",2018,"C00566000",213768
"457","H4NJ03130",2018,"C00557520",213770
"458","H4NJ09095",2018,"C00404335",213776
"459","H4NJ12149",2018,"C00558437",213780
"460","H4NY04075",2018,"C00555813",213787
"461","H4NY07102",2018,"C00684720",221780
"462","H4NY09090",2018,"C00613182",213795
"463","H4NY11138",2018,"C00398941",213797
"464","H4NY11138",2018,"C00415331",213798
"465","H4NY18109",2018,"C00565465",213802
"466","H4NY21079",2018,"C00567677",213806
"467","H4NY21079",2018,"C00573469",213807
"468","H4NY21079",2018,"C00547893",213805
"469","H4NY22051",2018,"C00632828",216741
"470","H4NY22051",2018,"C00561183",213810
"471","H4NY24073",2018,"C00556365",213811
"472","H4NY24073",2018,"C00573477",213812
"473","H4NY27076",2018,"C00401034",213814
"474","H4OH04046",2018,"C00560847",213820
"475","H4OH08088",2018,"C00669390",219554
"476","H4OH10167",2018,"C00565622",213827
"477","H4OH14110",2018,"C00580621",213832
"478","H4OK05132",2018,"C00558510",213842
"479","H4OK06056",2018,"C00287912",213843
"480","H4PA05062",2018,"C00555458",213848
"481","H4PA07092",2018,"C00560920",213850
"482","H4PA09056",2018,"C00545681",213852
"483","H4PA13181",2018,"C00646646",218278
"484","H4PA13199",2018,"C00543363",213856
"485","H4PA15087",2018,"C00386847",213859
"486","H4PA18131",2018,"C00290064",213862
"487","H4PA21069",2018,"C00673350",220438
"488","H4SC01073",2018,"C00285254",213869
"489","H4SC01271",2018,"C00568907",213873
"490","H4SC01271",2018,"C00677674",220680
"491","H4SC03111",2018,"C00616888",213874
"492","H4TX02108",2018,"C00392670",213888
"493","H4TX04039",2018,"C00386532",213893
"494","H4TX04153",2018,"C00554113",213895
"495","H4TX06117",2018,"C00195065",213897
"496","H4TX09095",2018,"C00578567",213898
"497","H4TX10028",2018,"C00286500",213899
"498","H4TX10093",2018,"C00573246",213902
"499","H4TX10093",2018,"C00392688",213901
"500","H4TX13014",2018,"C00286187",213903
"501","H4TX18054",2018,"C00287904",213907
"502","H4TX19136",2018,"C00383828",213909
"503","H4TX19136",2018,"C00493569",213910
"504","H4TX21041",2018,"C00662809",218800
"505","H4TX22163",2018,"C00597005",213912
"506","H4TX23088",2018,"C00622746",213913
"507","H4TX24094",2018,"C00393348",213914
"508","H4TX28046",2018,"C00394353",213918
"509","H4TX28046",2018,"C00528851",213919
"510","H4VA07143",2018,"C00554949",213937
